#Estacao          Latitude     Longitude    Temp       Altitude   Umidade
sao_sebastiao     -23.810722   -45.402528   23.7       24         85
Bertioga          -23.844678   -46.143376   22.1       5          93
Sao_Paulo         -23.496294   -46.620088   19.4       786        77
Braganca_P.       -22.951972   -46.530501   18.1       891        88
Barueri           -23.52389    -46.86945    18.1       777        91
Sorocaba          -23.426035   -47.585552   18.3       609        89
Piracicaba        -22.703132   -47.623317   18.6       566        92
Sao_Carlos        -21.980353   -47.883927   17.6       859        91
S_J_Rio_Preto     -21.78056    -47.07528    18.6       734        93
Poco_de_Caldas    -21.918066   -46.382996   17.9       1077       88
Machado           -21.680722   -45.944389   17.3       969        94
Varginha          -21.566513   -45.404300   16.8       950        95
Pradopolis        -21.338432   -48.114007   20.6       540        89
Itapira           -22.415062   -46.805292   19.3       635        87
Monte_Verde       -22.861604   -46.043365   14.6       1545       96
Maria_da_fe       -22.314567   -45.373049   15.9       1281       97
Passa_quatro      -22.395799   -44.961909   16.8       1017       92
Itatiaia          -22.373944   -44.703111   10.8       2450       90
Resende           -22.450924   -44.444786   19.1       439        93
Campos_Jordao     -22.750231   -45.603836   13.9       1663       100
Cach_Paulista     -22.689001   -45.005444   18.4       586        98
Paraty            -23.223540   -44.726863   21.7       3          90
S_L_Paraitinga    -23.228362   -45.417055   17.2       862        96
