Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2003,3,12,5,17,14,27,31,26,11,8,4,11
2004,5,4,8,7,13,22,11,14,30,9,8,4
2005,3,4,6,21,12,18,31,31,10,14,4,4
2006,15,7,4,12,12,30,26,19,8,6,4,3
2007,2,4,13,10,17,30,27,26,29,18,4,7
2008,5,8,7,13,31,30,31,24,14,15,4,4
2009,5,7,6,10,15,12,26,21,12,3,8,3
2010,6,7,5,24,11,23,31,31,12,5,3,6
2011,15,13,6,20,15,19,31,31,23,4,4,3
2012,13,8,10,13,8,16,31,31,17,12,4,7
2013,9,20,5,8,25,17,31,17,9,7,4,2
2014,7,15,12,17,11,16,24,24,17,17,7,7
2015,19,7,6,12,10,29,26,18,15,21,6,5
2016,4,9,8,26,18,23,30,12,12,11,4,5
2017,9,17,7,21,16,30,31,22,29,17,5,4
2018,6,10,8,12,15,25,31,13,10,5,5,10
2019,11,4,8,13,14,26,16,22,24,9,6,5
2020,2,3,12,14,7,25,31,16,20,4,7,4
